"Date / Time","Name Path Reference","Object Name","Object Value",

08/06/2018 09:52:35,ppm,ahs-203,605
08/06/2018 09:52:38,ppm,ahs-205,580
08/06/2018 09:52:41,ppm,ahs-207,575
08/06/2018 09:52:44,ppm,ahs-209,432
08/06/2018 09:52:47,ppm,ahs-211,-232
08/06/2018 09:52:50,ppm,ahs-215,535
08/06/2018 09:52:53,ppm,ahs-222,-223
08/06/2018 09:52:56,ppm,ahs-224,517
08/06/2018 09:52:59,ppm,ahs-225,448
08/06/2018 09:53:02,ppm,ahs-226,468
08/06/2018 09:53:05,ppm,ahs-227,637
08/06/2018 09:53:08,ppm,ahs-228,400
08/06/2018 09:53:11,ppm,ahs-230,626
08/06/2018 09:53:14,ppm,ahs-232,311
08/06/2018 09:53:17,ppm,ahs-237,533
08/06/2018 09:53:20,ppm,ahs-241,678
08/06/2018 09:53:23,ppm,ahs-243,573
2018-08-06 13:55:18.051274,,ahs-116,
2018-08-06 13:55:21.161281,ppm,ahs-137,541
2018-08-06 13:55:22.606950,,ahs-138,
