"Date / Time","Units","Facility","UID","Value",
2018-08-06 14:04:33.209585,,ahs,116,
2018-08-06 14:04:36.245548,ppm,ahs,137,524
2018-08-06 14:04:37.919898,,ahs,138,
2018-08-06 14:04:40.787410,ppm,ahs,139,571
2018-08-06 14:04:43.816930,ppm,ahs,201,490
2018-08-06 14:04:46.848980,ppm,ahs,203,602
2018-08-06 14:04:49.881559,ppm,ahs,205,572
2018-08-06 14:04:52.922783,ppm,ahs,207,580
2018-08-06 14:04:55.938478,ppm,ahs,209,427
2018-08-06 14:04:59.014456,ppm,ahs,211,-232
2018-08-06 14:05:01.999029,ppm,ahs,215,535
2018-08-06 14:05:05.035285,ppm,ahs,222,-229
2018-08-06 14:05:08.046555,ppm,ahs,224,512
2018-08-06 14:05:11.176590,ppm,ahs,225,444
2018-08-06 14:05:14.251939,ppm,ahs,226,467
2018-08-06 14:05:17.249977,ppm,ahs,227,634
2018-08-06 14:05:20.260707,ppm,ahs,228,389
2018-08-06 14:05:23.369573,ppm,ahs,230,608
2018-08-06 14:05:26.399714,ppm,ahs,232,297
2018-08-06 14:05:29.629604,ppm,ahs,237,528
2018-08-06 14:05:32.657147,ppm,ahs,241,645
2018-08-06 14:05:35.785985,ppm,ahs,243,576
2018-08-06 14:05:38.813841,ppm,ahs,245,516
2018-08-06 14:05:41.921523,ppm,ahs,247,598
2018-08-06 14:05:44.870901,ppm,ahs,249,535
2018-08-06 14:05:48.048686,ppm,ahs,251,569
2018-08-06 14:05:51.116740,ppm,ahs,253,478
2018-08-06 14:05:54.075462,ppm,ahs,255A&B,498
2018-08-06 14:05:55.573859,,ahs,260A,
2018-08-06 14:05:57.113720,,ahs,260B,
2018-08-06 14:06:00.113004,ppm,ahs,264A,748
2018-08-06 14:06:03.141184,ppm,ahs,264B,799
2018-08-06 14:06:06.169618,ppm,ahs,267,402
2018-08-06 14:06:09.296180,ppm,ahs,271,519
2018-08-06 14:06:12.323835,ppm,ahs,272,572
2018-08-06 14:06:15.351754,ppm,ahs,273,505
2018-08-06 14:06:18.380290,ppm,ahs,301,620
2018-08-06 14:06:19.894572,,ahs,303,
2018-08-06 14:06:22.925603,ppm,ahs,305,468
2018-08-06 14:06:25.995029,ppm,ahs,307,634
2018-08-06 14:06:28.981914,ppm,ahs,309,622
2018-08-06 14:06:30.596202,,ahs,310,
2018-08-06 14:06:33.627050,ppm,ahs,311,565
2018-08-06 14:06:36.656547,ppm,ahs,313,619
2018-08-06 14:06:39.695665,ppm,ahs,320,522
2018-08-06 14:06:42.721527,ppm,ahs,323,745
2018-08-06 14:06:45.762582,ppm,ahs,325,580
2018-08-06 14:06:48.776200,ppm,ahs,326,415
2018-08-06 14:06:51.905392,ppm,ahs,328,629
2018-08-06 14:06:54.936075,ppm,ahs,335,734
2018-08-06 14:06:57.962879,ppm,ahs,337,795
2018-08-06 14:07:01.016593,ppm,ahs,339,748
2018-08-06 14:07:04.020994,ppm,ahs,341,759
2018-08-06 14:07:07.269508,ppm,ahs,343,508
2018-08-06 14:07:10.279145,ppm,ahs,345,1250
2018-08-06 14:07:13.326828,ppm,ahs,347,620
2018-08-06 14:07:16.338300,ppm,ahs,349,629
2018-08-06 14:07:19.369003,ppm,ahs,351,632
2018-08-06 14:07:22.395889,ppm,ahs,353,589
2018-08-06 14:07:23.918285,,ahs,355,
2018-08-06 14:07:26.936787,ppm,ahs,357,629
2018-08-06 14:07:29.967209,ppm,ahs,359,656
2018-08-06 14:07:33.203783,ppm,ahs,361,844
2018-08-06 14:07:36.180394,ppm,ahs,363,671
2018-08-06 14:07:39.168930,ppm,ahs,365,678
2018-08-06 14:07:42.181549,ppm,ahs,367,728
2018-08-06 14:07:45.211344,ppm,ahs,369,680
2018-08-06 14:07:48.235713,ppm,ahs,370,709
2018-08-06 14:07:51.265860,ppm,ahs,373,911
2018-08-06 14:07:54.296131,ppm,ahs,375.01,864
2018-08-06 14:07:57.369748,ppm,ahs,375.02,995
2018-08-06 14:08:00.353892,ppm,ahs,377,621
2018-08-06 14:08:03.382329,ppm,ahs,377.01,625
2018-08-06 14:08:06.511434,ppm,ahs,379,695
2018-08-06 14:08:09.540427,ppm,ahs,381,1984
2018-08-06 14:08:11.056172,,ahs,Guidance,
2018-08-06 14:08:12.579533,,ahs,Kit Conf,
2018-08-06 14:08:14.274227,,ahs,Kit Office,
2018-08-06 14:08:15.696381,,ahs,Principal Office,
2018-08-06 14:08:18.726790,ppm,ahs,Outside Air,430
2018-08-06 14:08:21.856773,ppm,ahs,Field House NW,1156
2018-08-06 14:08:24.886560,ppm,ahs,Field House SW,683
2018-08-06 14:08:27.947820,ppm,ahs,Field House SE,1093
2018-08-06 14:08:31.061360,ppm,ahs,Field House NE,838
2018-08-06 14:08:34.092474,ppm,ahs,Dunn Gym ,666
2018-08-06 14:08:35.586636,,ahs,Locker Rooms,
2018-08-06 14:08:37.101179,,ahs,Athletic Director,
2018-08-06 14:08:38.615098,,ahs,Arts & Ceramic,
2018-08-06 14:08:40.216887,,ahs,CADD & Graphics,
2018-08-06 14:08:41.644064,,ahs,Main Lobby,
2018-08-06 14:08:43.157728,,ahs,Computer Office ,
2018-08-06 14:08:44.671270,,ahs,Admin Office,
2018-08-06 14:08:47.694153,ppm,ahs,CC Scene Shop,445
2018-08-06 14:08:50.726608,ppm,ahs,CC  Entry Hall & Common,505
2018-08-06 14:08:53.756611,ppm,ahs,CC Stage,438
2018-08-06 14:08:56.843957,ppm,ahs,CC Seating,435
