Usage statistics from between 23:00 and 04:00 each day
,HS Main (kWh),HS DL Lighting (kWh),HS DHB Plugload (kWh),HS-Kitchen Emergency (kWh),HS DG Gym (kWh),HS M1 Chillers (kWh),HS CC (kWh)
2015-12-30,725.0,113.0,41.970000000001164,246.80000000001746,220.79999999998836,0.06000000000130967,113.39999999999418
2015-12-31,645.0,113.60000000000582,105.19000000000233,150.39999999999418,176.39999999999418,0.06000000000130967,105.20000000001164
2016-01-01,684.0,109.79999999998836,39.529999999998836,240.89999999999418,206.10000000000582,0.040000000000873115,99.69999999999709
2016-01-02,709.0,110.0,39.5399999999936,244.70000000001164,211.80000000001746,0.049999999999272404,113.19999999999709
2016-01-03,778.0,114.39999999999418,39.20999999999185,241.0,203.10000000000582,0.0,192.0
2016-01-04,986.0,128.5,48.69000000000233,254.10000000000582,217.70000000001164,0.0,349.90000000000873
2016-01-05,919.0,139.0,47.779999999998836,253.79999999998836,177.80000000001746,0.0,314.5
2016-01-06,832.0,129.10000000000582,56.220000000001164,238.20000000001164,226.80000000001746,0.0,194.60000000000582
2016-01-07,736.0,123.69999999998254,47.4600000000064,232.10000000000582,215.89999999999418,0.0,128.1999999999971
2016-01-08,689.0,120.0,39.479999999995925,127.5,178.39999999999418,0.11000000000058208,231.10000000000582
2016-01-09,563.0,120.10000000000582,41.870000000009895,130.0,186.80000000001746,0.049999999999272404,89.30000000000291
2016-01-10,537.0,117.59999999997672,40.85000000000582,133.10000000000582,209.10000000000582,0.10000000000218279,42.0
2016-01-11,823.0,121.69999999998254,44.20999999999185,247.09999999997672,217.59999999997672,0.0,203.0
2016-01-12,744.0,130.10000000000582,45.029999999998836,230.0,223.79999999998836,0.0,125.59999999999127
2016-01-13,667.0,128.39999999999418,47.13999999999942,242.59999999997672,80.70000000001164,0.0,177.0
2016-01-14,756.0,127.20000000001164,45.169999999998254,248.0,117.10000000000582,0.0,228.60000000000582
2016-01-15,601.0,125.70000000001164,48.38999999999942,195.70000000001164,190.30000000001746,0.059999999997671694,49.30000000000291
2016-01-16,678.0,123.09999999997672,47.86999999999534,240.0,175.0,0.01999999999679858,103.10000000000582
